Poço,Bacia,COT,S1,S2,S3,Tmax,HI,OI
1-RV-1D-AL          ,Alagoas,1.45,0.29,4.81,0.68,421.0,331.72,46.9
1-RV-1D-AL          ,Alagoas,1.56,0.39,5.87,0.8,423.0,376.28,51.28
1-RV-1D-AL          ,Alagoas,1.24,0.11,2.94,0.52,429.0,237.1,41.94
1-RV-1D-AL          ,Alagoas,1.25,0.14,2.86,0.6,423.0,228.8,48.0
1-RV-1D-AL          ,Alagoas,1.36,0.14,3.41,0.54,427.0,250.74,39.71
1-RV-1D-AL          ,Alagoas,0.8,0.04,1.2,0.47,433.0,150.0,58.75
1-RV-1D-AL          ,Alagoas,0.77,0.04,1.3,0.42,434.0,168.83,54.55
1-RV-1D-AL          ,Alagoas,0.71,0.03,0.95,0.51,433.0,133.8,71.83
1-RV-1D-AL          ,Alagoas,0.65,0.03,0.64,0.44,430.0,98.46,67.69
1-RV-1D-AL          ,Alagoas,0.68,0.04,0.68,0.47,430.0,100.0,69.12
1-RV-1D-AL          ,Alagoas,0.52,0.03,0.42,0.39,428.0,80.77,75.0
1-RV-1D-AL          ,Alagoas,0.53,0.03,0.47,0.39,427.0,88.68,73.58
1-RV-1D-AL          ,Alagoas,0.46,0.04,0.45,0.4,430.0,97.83,86.96
1-RV-1D-AL          ,Alagoas,0.4,0.02,0.32,0.28,430.0,80.0,70.0
1-RV-1D-AL          ,Alagoas,0.38,0.01,0.29,0.3,428.0,76.32,78.95
1-RV-1D-AL          ,Alagoas,0.39,0.03,0.33,0.32,428.0,84.62,82.05
1-RV-1D-AL          ,Alagoas,0.39,,,,,,
1-RV-1D-AL          ,Alagoas,0.34,0.02,0.28,0.22,429.0,82.35,64.71
1-RV-1D-AL          ,Alagoas,0.36,0.01,0.27,0.23,428.0,75.0,63.89
1-RV-1D-AL          ,Alagoas,0.37,0.02,0.28,0.28,428.0,75.68,75.68
1-RV-1D-AL          ,Alagoas,0.36,0.02,0.28,0.29,428.0,77.78,80.56
1-RV-1D-AL          ,Alagoas,0.35,0.02,0.27,0.31,429.0,77.14,88.57
1-RV-1D-AL          ,Alagoas,0.35,0.03,0.28,0.29,428.0,80.0,82.86
1-RV-1D-AL          ,Alagoas,0.35,0.01,0.27,0.25,430.0,77.14,71.43
1-RV-1D-AL          ,Alagoas,0.44,0.02,0.3,0.33,429.0,68.18,75.0
1-RV-1D-AL          ,Alagoas,0.38,0.03,0.31,0.33,428.0,81.58,86.84
1-RV-1D-AL          ,Alagoas,0.41,0.01,0.32,0.36,427.0,78.05,87.8
1-RV-1D-AL          ,Alagoas,0.41,0.03,0.31,0.33,428.0,75.61,80.49
1-RV-1D-AL          ,Alagoas,0.44,0.03,0.32,0.31,428.0,72.73,70.45
1-RV-1D-AL          ,Alagoas,0.63,0.03,0.6,0.35,428.0,95.24,55.56
1-RV-1D-AL          ,Alagoas,0.66,0.04,0.65,0.4,428.0,98.48,60.61
1-RV-1D-AL          ,Alagoas,0.59,0.04,0.54,0.33,427.0,91.53,55.93
1-RV-1D-AL          ,Alagoas,0.74,0.03,0.62,0.36,428.0,83.78,48.65
1-RV-1D-AL          ,Alagoas,0.81,0.04,0.63,0.39,426.0,77.78,48.15
1-RV-1D-AL          ,Alagoas,0.75,0.04,0.65,0.39,427.0,86.67,52.0
1-RV-1D-AL          ,Alagoas,0.74,0.07,0.99,0.32,425.0,133.78,43.24
1-RV-1D-AL          ,Alagoas,0.61,0.05,0.66,0.25,426.0,108.2,40.98
1-RV-1D-AL          ,Alagoas,0.62,0.05,0.69,0.27,428.0,111.29,43.55
1-RV-1D-AL          ,Alagoas,0.56,0.03,0.57,0.25,426.0,101.79,44.64
1-RV-1D-AL          ,Alagoas,0.67,0.05,0.62,0.24,427.0,92.54,35.82
1-RV-1D-AL          ,Alagoas,0.57,0.03,0.44,0.26,426.0,77.19,45.61
1-RV-1D-AL          ,Alagoas,0.67,0.04,0.61,0.26,429.0,91.04,38.81
1-RV-1D-AL          ,Alagoas,0.68,0.04,0.6,0.28,428.0,88.24,41.18
1-RV-1D-AL          ,Alagoas,0.66,0.05,0.72,0.24,427.0,109.09,36.36
1-RV-1D-AL          ,Alagoas,0.66,0.05,0.71,0.22,429.0,107.58,33.33
1-RV-1D-AL          ,Alagoas,0.79,0.02,0.74,0.26,430.0,93.67,32.91
1-RV-1D-AL          ,Alagoas,0.76,0.03,0.78,0.3,429.0,102.63,39.47
1-RV-1D-AL          ,Alagoas,0.74,0.03,0.8,0.26,428.0,108.11,35.14
1-RV-1D-AL          ,Alagoas,0.64,0.03,0.67,0.23,428.0,104.69,35.94
1-RV-1D-AL          ,Alagoas,0.68,0.03,0.67,0.24,428.0,98.53,35.29
1-RV-1D-AL          ,Alagoas,0.64,0.05,0.68,0.28,425.0,106.25,43.75
1-RV-1D-AL          ,Alagoas,0.64,0.03,0.67,0.23,426.0,104.69,35.94
1-RV-1D-AL          ,Alagoas,0.69,0.05,0.75,0.24,426.0,108.7,34.78
1-RV-1D-AL          ,Alagoas,0.53,0.03,0.55,0.2,425.0,103.77,37.74
1-RV-1D-AL          ,Alagoas,0.56,0.04,0.57,0.22,425.0,101.79,39.29
1-RV-1D-AL          ,Alagoas,0.54,0.03,0.53,0.2,426.0,98.15,37.04
