Bacia,Poço,COT,S1,S2,S3,Tmax,HI,OI
Alagoas,3-JA-2-AL           ,3.85,0.41,18.79,1.22,430.0,488.05,31.69
Alagoas,3-JA-2-AL           ,2.82,0.45,15.13,0.87,429.0,536.52,30.85
Alagoas,3-JA-2-AL           ,5.26,0.73,31.28,1.45,428.0,594.68,27.57
Alagoas,3-JA-2-AL           ,1.59,0.24,4.8,0.7,430.0,301.89,44.03
Alagoas,3-JA-2-AL           ,0.76,,,,,,
Alagoas,3-JA-2-AL           ,0.61,,,,,,
Alagoas,3-JA-2-AL           ,2.27,0.39,12.37,0.71,434.0,544.93,31.28
Alagoas,3-JA-2-AL           ,1.14,0.15,3.54,0.47,435.0,310.53,41.23
Alagoas,3-JA-2-AL           ,1.79,0.28,7.75,0.59,432.0,432.96,32.96
Alagoas,3-JA-2-AL           ,1.19,0.21,3.56,0.44,433.0,299.16,36.97
Alagoas,3-JA-2-AL           ,5.82,1.27,37.46,1.2,432.0,643.64,20.62
Alagoas,3-JA-2-AL           ,6.88,1.37,43.58,1.28,433.0,633.43,18.6
Alagoas,3-JA-2-AL           ,4.1,0.57,22.9,1.03,433.0,558.54,25.12
Alagoas,3-JA-2-AL           ,3.5,0.55,20.93,0.76,435.0,598.0,21.71
Alagoas,3-JA-2-AL           ,2.99,0.58,16.17,0.68,434.0,540.8,22.74
Alagoas,3-JA-2-AL           ,2.04,0.42,11.65,0.59,435.0,571.08,28.92
Alagoas,3-JA-2-AL           ,3.82,0.72,26.04,0.73,435.0,681.68,19.11
Alagoas,3-JA-2-AL           ,4.36,0.84,23.14,0.92,434.0,530.73,21.1
Alagoas,3-JA-2-AL           ,3.25,0.45,15.44,0.79,433.0,475.08,24.31
Alagoas,3-JA-2-AL           ,1.62,0.19,4.86,0.44,433.0,300.0,27.16
Alagoas,3-JA-2-AL           ,0.7,,,,,,
Alagoas,3-JA-2-AL           ,1.07,0.53,2.45,0.53,434.0,228.97,49.53
